 %1$S フォル	verboseFolderFormat, comp not found	%2$S の %1$S フォルダ	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	10488
 (マ	fk, comp not found	フォークランド (マルビナス) 諸島	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	4639
自分	gloda.message.attr.fromMe.facetNameLabel, comp found	自分から	(pn,adj-no) (1) myself/yourself/oneself/himself/herself/(2) I/me/(P)/	じぶん	no comment	自分 [じぶん] (pn,adj-no) (1) myself/yourself/oneself/himself/herself/(2) I/me/(P)/<br>	firefox word found	8392
自分から	gloda.message.attr.fromMe.facetNameLabel	self	From Me	phrase, no reading now	no comment	自分 [じぶん] (pn,adj-no) (1) myself/yourself/oneself/himself/herself/(2) I/me/(P)/<br>	firefox phrase	8393
自分へ	gloda.message.attr.toMe.facetNameLabel	self	To Me	phrase, no reading now	no comment	自分 [じぶん] (pn,adj-no) (1) myself/yourself/oneself/himself/herself/(2) I/me/(P)/<br>	firefox phrase	8395
自分自身	12, comp found	XSLT スタイルシートが直接あるいは間接的に自分自身を import あるいは include しています。	(n,adj-no) oneself/myself/(P)/	じぶんじしん	no comment	自分自身 [じぶんじしん] (n,adj-no) oneself/myself/(P)/<br>	firefox word found	5810
自動	Automatic	self	Automatic	phrase, no reading now	no comment	自 [ころ] (ok) (pref) (1) self-/<br>自 [じ] (pref) (1) self-/(2) from .../<br>	firefox phrase	523
自動更新の URL が指定されていません。	undefinedURL	self	Auto update URL is not defined.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	19383
自動更新の設定を表示しますか？	crlAutoupdateQuestion2	self	Would you like to view the automatic update settings?	phrase, no reading now	no comment	すか [すか] (n) (1) nonsense/(2) loss (on scratch lottery tickets, etc.)/<br>	firefox phrase	19373
自動更新を有効にしますか？	crlAutoupdateQuestion1	self	Would you like to enable automatic update?	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	19366
自動的	autoCompactAlwaysAskCheckbox, comp found	自動的にフォルダを最適化する前に常に確認する	(adj-na) automatic/(P)/	じどうてき	no comment	自動的 [じどうてき] (adj-na) automatic/(P)/<br>	firefox word found	10202
自動的にフォルダを最適化する前に常に確認する	autoCompactAlwaysAskCheckbox	self	Always ask me before compacting folders automatically	phrase, no reading now	no comment	確認 [かくにん] (n,vs) affirmation/confirmation/validation/(P)/<br>	firefox phrase	10209
自国	1002, comp found	自国の	(n,adj-no) one's own country/(P)/	じこく	no comment	自国 [じこく] (n,adj-no) one's own country/(P)/<br>	firefox word found	14021
自国の	1002	self	Domestic	phrase, no reading now	no comment	自国 [じこく] (n,adj-no) one's own country/(P)/<br>	firefox phrase	14022
自宅	propertyHome	self	Home	phrase, no reading now	no comment	自 [ころ] (ok) (pref) (1) self-/<br>自 [じ] (pref) (1) self-/(2) from .../<br>	firefox phrase	6890
自宅の FAX: %S	2014	self	Home Fax: %S	phrase, no reading now	no comment	自宅 [じたく] (n) one's home/(P)/<br>	firefox phrase	7996
自宅の電話番号	2107	self	Home Phone	phrase, no reading now	no comment	番 [つがい] (n) (1) (uk) (one) pair (e.g. of birds)/brace/couple/(2) joint/hinge/<br>番 [ばん] (n) (1) number (in a series)/(2) (one's) turn/(3) watch/guard/lookout/(4) bout, match (sumo)/<br>	firefox phrase	9206
自己	NoFormAction, comp found	フォームに action 属性を指定することをお勧めします。自己投稿フォームは高度な技法であり、ブラウザによっては正しく動作しない可能性があります。	(n,adj-no) self/oneself/(P)/	じこ	no comment	自己 [じこ] (n,adj-no) self/oneself/(P)/<br>	firefox word found	764
自己署名をしているためこの証明書は信頼されません。	certErrorTrust_SelfSigned	self	The certificate is not trusted because it is self-signed.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	17999
自身	SIExpiredCA, comp found	メッセージの署名に使用された証明書を発行した認証局自身の証明書が期限切れになっています。コンピュータの時計が正しいか確認してください。	(n) by oneself/personally/(P)/	じしん	no comment	自身 [じしん] (n) by oneself/personally/(P)/<br>	firefox word found	14760
色	NoColorError, comp found	クリックして色を選ぶか、HTML で有効な色名や色番号を入力してください。	choose manually from edict	choose manually from edict	no comment	色 [いろ] (n) (1) colour/color/(2) complexion/(3) appearance/look/(4) love/lust/sensuality/love affair/lover/(5) kind/type/variety/(P)/<br>色 [しき] (n) (1) (Buddh) rupa (form)/(2) visible objects (i.e. color and form)/<br>色 [しょく] (ctr) counter for colours/<br>	firefox word found	597
色であるべきところが '%1$S' になっています。	PEColorNotColor	self	Expected color but found '%1$S'.	phrase, no reading now	no comment	居間 [いま] (n) living room (western style)/(P)/<br>今 [いま] (n-adv,n) now/the present time/just now/soon/immediately/(one) more/(P)/<br>	firefox phrase	2052
色の RGB 値	PEColorComponentEOF	self	color component	phrase, no reading now	no comment	色 [いろ] (n) (1) colour/color/(2) complexion/(3) appearance/look/(4) love/lust/sensuality/love affair/lover/(5) kind/type/variety/(P)/<br>色 [しき] (n) (1) (Buddh) rupa (form)/(2) visible objects (i.e. color and form)/<br>色 [しょく] (ctr) counter for colours/<br>	firefox phrase	2054
色の透明度	PEColorOpacityEOF	self	opacity in color value	phrase, no reading now	no comment	透明 [とうめい] (adj-na,adj-no,n) transparency/cleanness/(P)/<br>	firefox phrase	2102
色名または RGB 値	PEColorEOF	self	color	phrase, no reading now	no comment	又は [または] (conj,exp) (uk) or/otherwise/(P)/<br>	firefox phrase	2045
色相	PEColorHueEOF	self	hue	phrase, no reading now	no comment	色 [いろ] (n) (1) colour/color/(2) complexion/(3) appearance/look/(4) love/lust/sensuality/love affair/lover/(5) kind/type/variety/(P)/<br>色 [しき] (n) (1) (Buddh) rupa (form)/(2) visible objects (i.e. color and form)/<br>色 [しょく] (ctr) counter for colours/<br>	firefox phrase	2089
英	en, comp found	英語	(n,pref) (abbr) abbreviation for Britain or British/	えい	no comment	英 [えい] (n,pref) (abbr) abbreviation for Britain or British/<br>	firefox word found	3091
英国	gb	self	United Kingdom	phrase, no reading now	no comment	英 [えい] (n,pref) (abbr) abbreviation for Britain or British/<br>	firefox phrase	4653
英数字	hostname_syntax.error, comp found	ホスト名が入力されていないか無効な文字が含まれています。半角英数字と "-" (ハイフン)、"." (ピリオド) のみが使用可能です。	(n) alphanumeric character/	えいすうじ	no comment	英数字 [えいすうじ] (n) alphanumeric character/<br>	firefox word found	6469
英語	us-ascii.title, comp found	英語 (US-ASCII)	(n,adj-no) English (language)/(P)/	えいご	no comment	英語 [えいご] (n,adj-no) English (language)/(P)/<br>	firefox word found	1217
英語 (US-ASCII)	us-ascii.title	self	English (US-ASCII)	phrase, no reading now	no comment	英語 [えいご] (n,adj-no) English (language)/(P)/<br>	firefox phrase	1218
英領	io, comp found	英領インド洋地域	(n) British territory (possession)/	えいりょう	no comment	英領 [えいりょう] (n) British territory (possession)/<br>	firefox word found	4724
英領インド洋地域	io	self	British Indian Ocean Territory	phrase, no reading now	no comment	地 [じ] (n) (1) (abbr) ground/land/earth/soil/(2) the region in question/the local area/(3) skin/(4) texture/fabric/material/weave/(5) base/background/(6) one's true nature/(7) narrative (i.e. descriptive part of a story)/(8) real life/actuality/(9) (in the game of go) captured territory/(10) Noh chorus/(11) (in Japanese dance) accompaniment music/(12) (in Japanese music) basic phrase (usu. repetitive)/(13) base part (of multiple shamisens)/<br>地 [ち] (n,n-suf) (1) earth/ground/land/soil/(2) place/(3) territory/(4) bottom (of a package, book, etc.)/(P)/<br>地 [つし] (n) (1) earth/soil/dirt/(2) the earth (historically, esp. as opposed to the heavens)/the ground/the land/(3) low-quality torinoko-gami (containing mud)/(4) (period of) refraining from construction in the direction of the god of the earth (in On'youdou)/<br>地 [つち] (n) (1) earth/soil/dirt/(2) the earth (historically, esp. as opposed to the heavens)/the ground/the land/(3) low-quality torinoko-gami (containing mud)/(4) (period of) refraining from construction in the direction of the god of the earth (in On'youdou)/<br>	firefox phrase	4728
英領バージン諸島	vg	self	British Virgin Islands	phrase, no reading now	no comment	諸 [しょ] (pref) various/many/several/(P)/<br>	firefox phrase	5030
行	DeleteTableTitle, comp found	行または列を削除	choose manually from edict	choose manually from edict	no comment	行 [ぎょう] (n) (1) line (i.e. of text)/row/verse/(2) (Buddh) carya (austerities)/(3) (Buddh) samskara (formations)/(4) (abbr) running script (a semi-cursive style of kanji)/(P)/<br>行 [こう] (n,n-suf) (1) going/travelling (traveling)/(2) (arch) district (of similar merchants)/guild/(3) epic/<br>	firefox word found	710
行 %1$S, 列 %2$S	statusBarLineCol	self	Line %1$S, Col %2$S	phrase, no reading now	no comment	列 [れつ] (n) queue/line/row/column/sequence/string/train/(P)/<br>	firefox phrase	5326
行: %S	errLine	self	Line: %S	phrase, no reading now	no comment	行 [ぎょう] (n) (1) line (i.e. of text)/row/verse/(2) (Buddh) carya (austerities)/(3) (Buddh) samskara (formations)/(4) (abbr) running script (a semi-cursive style of kanji)/(P)/<br>行 [こう] (n,n-suf) (1) going/travelling (traveling)/(2) (arch) district (of similar merchants)/guild/(3) epic/<br>	firefox phrase	1503
行: %S, 列: %S	errLineCol	self	Line: %S, Column: %S	phrase, no reading now	no comment	列 [れつ] (n) queue/line/row/column/sequence/string/train/(P)/<br>	firefox phrase	1506
行い	cleartext_details, comp found	安全でないメールサーバは、あなたのパスワードやプライバシー情報を守るための暗号化された接続を行いません。このサーバに接続することによって、あなたのパスワードやプライバシー情報が漏えいする可能性があります。	(io) (n) deed/act/action/conduct/behavior/behaviour/asceticism/(P)/	おこない	no comment	行い [おこない] (io) (n) deed/act/action/conduct/behavior/behaviour/asceticism/(P)/<br>	firefox word found	6190
行う	2020, comp found	次の処理を行うフィルタはインポートできません: "%S"	(v5u) to perform/to do/to conduct oneself/to carry out/(P)/	おこなう	no comment	行う [おこなう] (v5u) to perform/to do/to conduct oneself/to carry out/(P)/<br>	firefox word found	8017
行または列を削除	DeleteTableTitle	self	Delete Rows or Columns	phrase, no reading now	no comment	削 [さく] (n) plane/sharpen/whittle/pare/shave (leather)/scrape off/crossout/reduce/curtail/<br>	firefox phrase	714
行数	DeleteTableMsg, comp found	列数や行数を減らすと表のセルやその内容も削除されます。本当に減らしてもよろしいですか？	(n) number of lines/linage/	ぎょうすう	no comment	行数 [ぎょうすう] (n) number of lines/linage/<br>	firefox word found	717
行番号	XMLParsingError, comp found	XML パースエラー: %1$S\nURL: %2$S\n行番号: %3$u, 列番号: %4$u:	(n) (comp) line number/	ぎょうばんごう	no comment	行番号 [ぎょうばんごう] (n) (comp) line number/<br>	firefox word found	3700
行番号を入力してください	goToLineText	self	Enter line number	phrase, no reading now	no comment	管 [くだ] (n,n-suf) pipe/tube/(P)/<br>	firefox phrase	5305
行頭	BulletStyle, comp found	行頭文字	(n) (comp) beginning of line/BOL/	ぎょうとう	no comment	行頭 [ぎょうとう] (n) (comp) beginning of line/BOL/<br>	firefox word found	516
行頭文字	BulletStyle	self	Bullet Style	phrase, no reading now	no comment	文 [あや] (n) (1) figure/design/<br>文 [ふみ] (n) letter/writings/(P)/<br>文 [ぶん] (n) sentence/text/(P)/<br>文 [もん] (n) (1) one-thousandth of a kan (obsolete unit of currency)/(2) 2.4 cm (traditional unit used to measure shoe sizes)/<br>	firefox phrase	518
表	showDetails, comp found	詳細を表示	choose manually from edict	choose manually from edict	no comment	表 [おもて] (n) (1) surface/(2) face (i.e. the visible side of an object)/(3) front (of a building, etc.)/obverse side (i.e. "head") of a coin/(4) outside/exterior/(5) appearance/(6) public/(7) first half (of an innings)/top (of an inning)/(8) cover (for tatami mats, etc.)/(9) (comp) foreground/(P)/<br>表 [ひょう] (n,n-suf) table (e.g. Tab 1)/chart/list/(P)/<br>	firefox word found	54
表す	24, comp found	XPath 構文解析エラー: '!' の位置が不正です。否定を表すには not() 関数を使います:	choose manually from edict	choose manually from edict	no comment	表す [あらわす] (v5s,vt) (1) to reveal/to show/to display/(2) to express/(3) to represent/to signify/to stand for/(4) to make widely known/(P)/<br>表す [ひょうす] (v5s,vt) to express/to show/<br>	firefox word found	5900
表のセル	TableCell	self	Table Cell	phrase, no reading now	no comment	表 [おもて] (n) (1) surface/(2) face (i.e. the visible side of an object)/(3) front (of a building, etc.)/obverse side (i.e. "head") of a coin/(4) outside/exterior/(5) appearance/(6) public/(7) first half (of an innings)/top (of an inning)/(8) cover (for tatami mats, etc.)/(9) (comp) foreground/(P)/<br>表 [ひょう] (n,n-suf) table (e.g. Tab 1)/chart/list/(P)/<br>	firefox phrase	610
表の背景色	TableColor	self	Table Background Color	phrase, no reading now	no comment	背景 [はいけい] (n) background/scenery/setting/circumstance/(P)/<br>	firefox phrase	578
表またはセルの色	TableOrCellColor	self	Table or Cell Color	phrase, no reading now	no comment	セル [セル] (n) (1) cell/(2) serge/(P)/<br>	firefox phrase	585
表現	convertibleNo, comp found	このメッセージでは配色などの書式を利用していますが、これらの書式はプレーンテキストで表現できません。	(n,vs) (1) expression/presentation/(2) (math) representation/notation/(P)/	ひょうげん	no comment	表現 [ひょうげん] (n,vs) (1) expression/presentation/(2) (math) representation/notation/(P)/<br>	firefox word found	11339
表示	DocTitleHelp, comp found	ブラウザウィンドウのタイトルバーやブックマークに表示されます。	(n,vs) indication/expression/display/presentation/(P)/	ひょうじ	no comment	表示 [ひょうじ] (n,vs) indication/expression/display/presentation/(P)/<br>	firefox word found	416
表示されているメッセージはデジタル署名されていますが、すべての添付ファイルのダウンロードを完了していないため、署名の有効性はまだ検証されていません。 [OK] をクリックするとメッセージのダウンロードを完了し署名を検証します。	ImapOnDemand	self	The displayed message has been digitally signed, but not all its attachments have been downloaded yet. Therefore, the signature cannot be validated. Click OK to download the complete message and validate the signature.	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	14512
表示しているページの一部はインターネットに転送される前に暗号化されていません。	pageInfo_Privacy_Mixed1	self	Parts of the page you are viewing were not encrypted before being transmitted over the Internet.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	19153
表示中のページはインターネット上に送信される前に暗号化されています。	pageInfo_Privacy_Strong1	self	The page you are viewing was encrypted before being transmitted over the Internet.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	19081
表示中のページは暗号化されていません。	pageInfo_Privacy_None3	self	The page you are viewing is not encrypted.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	19061
表示倍率 (%S%%)	ScaledImage	self	Scaled (%S%%)	phrase, no reading now	no comment	倍率 [ばいりつ] (n) magnification/leverage/amplification/scaling factor/scale factor/(P)/<br>	firefox phrase	3477
表示名	propertyDisplayName	self	Display Name	phrase, no reading now	no comment	表示 [ひょうじ] (n,vs) indication/expression/display/presentation/(P)/<br>	firefox phrase	6886
補	15, comp not found	名前の自動補完	"not found entry", missing	"not found entry", missing	"not found entry", missing	"not found entry", missing	firefox word notf	13863
補足	1030, comp found	補足名	(n,adj-no,vs) supplement/complement/(P)/	ほそく	no comment	補足 [ほそく] (n,adj-no,vs) supplement/complement/(P)/<br>	firefox word found	14056
補足名	1030	self	Additional Name	phrase, no reading now	no comment	補足 [ほそく] (n,adj-no,vs) supplement/complement/(P)/<br>	firefox phrase	14057
補足情報	1050, comp found	補足情報:	(n) supplementary information/	ほそくじょうほう	no comment	補足情報 [ほそくじょうほう] (n) supplementary information/<br>	firefox word found	14096
補足情報:	1050	self	Additional Information:	phrase, no reading now	no comment	補足情報 [ほそくじょうほう] (n) supplementary information/<br>	firefox phrase	14097
製造	devinfo_manID, comp found	製造元	(n,vs,adj-no) manufacture/production/(P)/	せいぞう	no comment	製造 [せいぞう] (n,vs,adj-no) manufacture/production/(P)/<br>	firefox word found	19249
製造元	devinfo_manID	self	Manufacturer	phrase, no reading now	no comment	製造 [せいぞう] (n,vs,adj-no) manufacture/production/(P)/<br>	firefox phrase	19250
複	AuthDlgTitle, comp found	アドレス帳の LDAP 複製	(n,pref) (1) diplo-/double/(n) (2) (abbr) doubles (tennis, etc.)/(n) (3) (abbr) place betting (in horse racing, etc.)/	ふく	no comment	複 [ふく] (n,pref) (1) diplo-/double/(n) (2) (abbr) doubles (tennis, etc.)/(n) (3) (abbr) place betting (in horse racing, etc.)/<br>	firefox word found	7042
複合	Mixed, comp found	(複合)	(n,vs,adj-no) composite/combined/complex/(P)/	ふくごう	no comment	複合 [ふくごう] (n,vs,adj-no) composite/combined/complex/(P)/<br>	firefox word found	465
複数	MixedSelection, comp found	[複数選択]	(n,adj-no) several/plural/plurality/multiple/(P)/	ふくすう	no comment	複数 [ふくすう] (n,adj-no) several/plural/plurality/multiple/(P)/<br>	firefox word found	462
複数のサーバに影響します	71	self	Affects multiple servers	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	17249
複数の拡張機能パッケージ	type-32	self	Multiple Extension Package	phrase, no reading now	no comment	パッケ [パッケ] (n) (abbr) packaging/<br>	firefox phrase	15654
複数セルの選択時には詳細編集は利用できません。	AdvancedEditForCellMsg	self	Advanced Edit is unavailable when multiple cells are selected	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	693
複製	replicationStarted, comp found	複製を開始しました...	(n,vs,adj-no) reproduction/duplication/reprinting/(P)/	ふくせい	no comment	複製 [ふくせい] (n,vs,adj-no) reproduction/duplication/reprinting/(P)/<br>	firefox word found	7505
複製されたディレクトリ項目: %S	currentCount	self	Replicating directory entry: %S	phrase, no reading now	no comment	項目 [こうもく] (n) (data) item/entry/(P)/<br>	firefox phrase	7534
複製に失敗しました	replicationFailed	self	Replication failed	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	7526
複製のため変更部分の検索を開始しました...	changesStarted	self	Started finding changes to replicate…	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	7518
複製は中止されました	replicationCancelled	self	Replication cancelled	phrase, no reading now	no comment	まし [まし] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	7530
複製を開始しました...	replicationStarted	self	Replication started…	phrase, no reading now	no comment	下 [した] (n) (1) below/down/under/(2) bottom/(3) beneath/underneath/(4) just after/right after/(5) inferiority/one's inferior (i.e. one's junior)/younger (e.g. of siblings)/(6) trade-in/(n-pref) (7) preliminary/preparatory/(P)/<br>舌 [した] (n) (1) tongue/(2) tongue-like object/clapper (of a bell)/talon (of a lock)/(P)/<br>簧 [した] (n) reed (of a woodwind, etc.)/<br>	firefox phrase	7509
西	eh, comp found	西サハラ	choose manually from edict	choose manually from edict	no comment	西 [せい] (n) (abbr) Spain/<br>西 [にし] (n) west/(P)/<br>	firefox word found	4623
西サハラ	eh	self	Western Sahara	phrase, no reading now	no comment	西 [せい] (n) (abbr) Spain/<br>西 [にし] (n) west/(P)/<br>	firefox phrase	4624
西欧	iso-8859-1.title, comp found	西欧 (ISO-8859-1)	(n,adj-no) Western Europe/(P)/	せいおう	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox word found	1219
西欧 (IBM-850)	ibm850.title	self	Western (IBM-850)	phrase, no reading now	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox phrase	1366
西欧 (ISO-8859-1)	iso-8859-1.title	self	Western (ISO-8859-1)	phrase, no reading now	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox phrase	1220
西欧 (ISO-8859-15)	iso-8859-15.title	self	Western (ISO-8859-15)	phrase, no reading now	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox phrase	1238
西欧 (MacRoman)	x-mac-roman.title	self	Western (MacRoman)	phrase, no reading now	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox phrase	1251
西欧 (Windows-1252)	windows-1252.title	self	Western (Windows-1252)	phrase, no reading now	no comment	西欧 [せいおう] (n,adj-no) Western Europe/(P)/<br>	firefox phrase	1244
要	externalProtocolTitle, comp found	外部プロトコルの要求	choose manually from edict	choose manually from edict	no comment	要 [かなめ] (n) (1) pivot/(2) vital point/(P)/<br>要 [よう] (n) (1) cornerstone/main point/keystone/(2) requirement/need/(adj-f) (3) necessary/required/<br>	firefox word found	1080
要求	redirectLoop, comp found	URL の転送回数が制限値を超えました。要求されたページを読み込むことができません。Cookie がブロックされていることが原因であることもあります。	(n,vs) demand/firm request/requisition/requirement/desire/(P)/	ようきゅう	no comment	要求 [ようきゅう] (n,vs) demand/firm request/requisition/requirement/desire/(P)/<br>	firefox word found	898
要求された LDAP コントロールが見つかりません	93	self	Requested LDAP control not found	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	17310
要求されたファイルが存在しません	error-214	self	Required file does not exist	phrase, no reading now	no comment	縞 [しま] (n) stripe/bar/streak/(P)/<br>島 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/(P)/<br>嶋 [しま] (n) (1) island/(2) (uk) territory (of a prostitute, organized crime gang, etc.)/turf/<br>	firefox phrase	5666
要求された印刷モジュールは読み込むことができません。	NS_ERROR_GFX_COULD_NOT_LOAD_PRINT_MODULE	self	The requested print module cannot be loaded.	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	4418
要求された操作を実行するのに必要なメモリが不足しています。\n\nプログラムを終了させてから再度お試しください。	noMemory	self	There is not sufficient memory to complete the action you requested.\n\nQuit some applications and try again.	phrase, no reading now	no comment	下さい [ください] (exp) (1) (uk) (hon) please give me/(2) (after te-form of a verb or a noun prefixed with o- or go-) please do for me/(P)/<br>	firefox phrase	3906
要求したページは暗号化されていますが、暗号化されていない項目を含んでいます。あなたがこのページで表示や入力する情報は第三者が簡単に傍受できます。	MixedContentMessage	self	You have requested an encrypted page that contains some unencrypted information. Information that you see or enter on this page could easily be read by a third party.	phrase, no reading now	no comment	ます [ます] (aux-v) (1) (pol) used to indicate respect for the listener (or reader)/(2) (arch) (hum) used to indicate respect for those affected by the action/<br>	firefox phrase	18439
要約	4000, comp found	%S の要約ファイルを作成しています...	(n,vs,adj-no) summary/digest/(P)/	ようやく	no comment	要約 [ようやく] (n,vs,adj-no) summary/digest/(P)/<br>	firefox word found	9569
要素	NoLinksToCheck, comp found	リンクをチェックする要素がありません。	(n) (1) component/factor/item (e.g. in list)/(2) (comp) element (e.g. in array)/member (e.g. data structure)/(P)/	ようそ	no comment	要素 [ようそ] (n) (1) component/factor/item (e.g. in list)/(2) (comp) element (e.g. in array)/member (e.g. data structure)/(P)/<br>	firefox word found	825
要素が見つかりません。	3	self	no element found	phrase, no reading now	no comment	ません [ません] (exp) (pol) suffix used to negate a verb in the non-past tense/<br>	firefox phrase	3490
要素名	PETypeSelEOF	self	element type	phrase, no reading now	no comment	要素 [ようそ] (n) (1) component/factor/item (e.g. in list)/(2) (comp) element (e.g. in array)/member (e.g. data structure)/(P)/<br>	firefox phrase	1783
要素名または '*' であるべきところが '%1$S' になっています。	PETypeSelNotType	self	Expected element name or '*' but found '%1$S'.	phrase, no reading now	no comment	居間 [いま] (n) living room (western style)/(P)/<br>今 [いま] (n-adv,n) now/the present time/just now/soon/immediately/(one) more/(P)/<br>	firefox phrase	1792
見	FileNotFound, comp found	%file% ファイルが見つかりませんでした。	choose manually from edict	choose manually from edict	no comment	見 [けん] (n) view (of life, etc.)/outlook/<br>見 [み] (n-suf,n) looking/viewing/<br>	firefox word found	252
見た目	convertibleAltering, comp found	このメッセージは内容自体を変えることなくプレーンテキストに変換できますが、見た目が編集中のものと異なる可能性があります。	(n) appearance/(P)/	みため	no comment	見た目 [みため] (n) appearance/(P)/<br>	firefox word found	11318
見つかったフォルダ: %S	5046	self	Found folder: %S	phrase, no reading now	no comment	フォルダ [フォルダ] (n) folder/<br>	firefox phrase	8740
見つかりません	StatusNotFound	self	Not Found	phrase, no reading now	no comment	ませ [ませ] (aux) (1) (pol) (used to make a polite request or demand) please/(2) used to increase the politeness of a greeting, apology, etc./<br>	firefox phrase	14446
見つかりませんでした	searchFailureMessage	self	No matches found	phrase, no reading now	no comment	弟子 [でし] (n,adj-no) pupil/disciple/adherent/follower/apprentice/young person/teacher's student-helper/(P)/<br>	firefox phrase	13896
見つかりませんでした。	NotFound	self	Phrase not found	phrase, no reading now	no comment	ませんでした [ませんでした] (exp) (pol) suffix used to negate a verb in the past tense/<br>	firefox phrase	2813
見出し	NoNamedAnchorsOrHeadings, comp found	(名前付きアンカーや見出しはありません)	(n) heading/caption/subtitle/index/(P)/	みだし	no comment	見出し [みだし] (n) heading/caption/subtitle/index/(P)/<br>	firefox word found	563
規則	18, comp found	不適切な適合規則です	(n) rules/regulations/conventions/(P)/	きそく	no comment	規則 [きそく] (n) rules/regulations/conventions/(P)/<br>	firefox word found	17134
解	glodaFacetView.facets.mayMatchLabel.fallbackLabel, comp found	この絞り込みを解除	(n) solution (of equation)/	かい	no comment	解 [かい] (n) solution (of equation)/<br>	firefox word found	8525
解像度	NS_ERROR_GFX_PRINTER_RESOLUTION_NOT_SUPPORTED, comp found	印刷中に問題が発生しました。指定の解像度または品質をプリンタがサポートしていません。	(n) resolution (e.g. display, dpi)/granularity (e.g. timer)/	かいぞうど	no comment	解像度 [かいぞうど] (n) resolution (e.g. display, dpi)/granularity (e.g. timer)/<br>	firefox word found	4426
解放	10090, comp found	他のウィンドウやプログラムを閉じてメモリを解放してからやり直してください。	(n,vs) (1) release/unleashing/liberation/emancipation/setting free/(2) (comp) deallocation (of computer memory)/(P)/	かいほう	no comment	解放 [かいほう] (n,vs) (1) release/unleashing/liberation/emancipation/setting free/(2) (comp) deallocation (of computer memory)/(P)/<br>	firefox word found	7396
解決	NeededToWrapXULInlineBox, comp found	%1$S 要素の XUL ボックスがインラインの子要素 %2$S を含んでいるため、すべての子はブロック中で折り返されます。このエラーは "display: -moz-inline-box" を "display: -moz-inline-box; display: inline-block" で置き換えると解決することが多いです。	(n,vs) settlement/solution/resolution/(P)/	かいけつ	no comment	解決 [かいけつ] (n,vs) settlement/solution/resolution/(P)/<br>	firefox word found	6023
